	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Unnamed: 43
LaOPbTiZr	0.22307596976081298	0.21712907117008443	0.04574565416285453	0.02224941595283124	0.11957431543704414	0.07943863365550113	0.08121591831999071	0.026849241508927372	0.08019246190858059	0.11367942402425162	0.2641690682036503	0.0696217219772569	0.03526093088857546	0.14697569248162803	0.05328786102525845	0.05451968160505943		0.023094688221709007	0.08743169398907104	0.28582692686773115	0.01909307875894988	0.008677542519958347	0.028237951807228913	0.009475080538184574	0.009707795359673818	0.010399334442595673		
BaCeOTi	0.22307596976081298	0.08443908323281062			0.011957431543704412	0.07943863365550113	0.08121591831999071				0.024015369836695485	0.023207240659085637									0.00954653937947494	0.10413051023950018		0.037900322152738294				
BCoCuDyFeNd	0.22307596976081298										0.012007684918347743																	
AlMgNaOPr	0.21068286032965672																											
CHLuNO	0.21068286032965672	0.10856453558504221	0.11436413540713633	0.1891200355990655	0.2869783570489059	0.3574738514497551	0.2552500290056851	0.51013558866962	0.274945583686562	0.3536693191865605	0.4442843419788665	0.3945230912044558	0.4583921015514809	0.1582815149802148	0.4476180326121709	0.20717479009922582	0.3152916447714136	0.5080831408775982	0.22950819672131148	0.37453183520599254	0.2195704057279236	0.21693856299895867	0.3200301204819277	0.24635209399279895	0.7280846519755363	0.46797004991680535	0.39215686274509803	
CHNOY	0.21068286032965672	0.16887816646562123	0.14867337602927722	0.3003671153632217	0.2152337677866794	0.30451476234608765	0.4756932358742314	0.3758893811249832	0.263489517699622	0.20209675382089173	0.5043227665706052	0.3597122302158274	0.305594734367654	0.4296212549462973	0.8632633486091869	0.5888125613346418	0.49921177088807145	0.5427251732101617	0.5573770491803279	0.6505026611472502	0.5155131264916467	0.3384241582783756	0.42356927710843373	0.45480386583285953	0.7572080380545578	0.4263727121464226	0.26831785345717235	
HfOY	0.21068286032965672					0.013239772275916854					0.10806916426512969													0.009475080538184574	0.009707795359673818			
CaLaMnOY	0.19828975089850043	0.14475271411338964	0.057182067703568165		0.03587229463111324	0.07943863365550113			0.08019246190858059	0.012631047113805733				0.011305822498586773								0.008677542519958347	0.00941265060240964					
BaCuLaNdO	0.19828975089850043	0.04825090470446321		0.06674824785849372	0.0956594523496353			0.10739696603570949					0.058768218147625756															
BaCuNdOPr	0.19828975089850043	0.26537997587454765	0.08005489478499542	0.08899766381132496	0.03587229463111324		0.06961364427427777	0.04027386226339106	0.011456065986940085																			
CHLaO	0.19828975089850043	0.07237635705669482	0.19441903019213175	0.07787295583490933	0.14348917852445295	0.13239772275916853	0.18563638473140734	0.10739696603570949	0.274945583686562	0.2526209422761147	0.36023054755043227	0.5221629148294268	0.2820874471086037	0.3617863199547767	0.2877544495363956	0.19627085377821393	0.1445086705202312	0.20785219399538107	0.16393442622950818	0.04928050463236743	0.06682577565632458	0.11280805275945853	0.11295180722891565	0.07580064430547659	0.13590913503543345	0.08319467554076539	0.0825593395252838	
FeNSm	0.18589664146734414	0.07237635705669482					0.023204548091425917													0.009856100926473488					0.019415590719347637	0.010399334442595673		
BaCuGaNdO	0.18589664146734414	0.024125452352231604			0.0837020208059309																							
BiGdNaOTi	0.18589664146734414																						0.03765060240963856					
AlCoLa	0.18589664146734414	0.060313630880579006	0.10292772186642268						0.011456065986940085		0.012007684918347743			0.011305822498586773														
BCFeNd	0.18589664146734414				0.04782972617481765	0.013239772275916854	0.011602274045712959	0.06712310377231842	0.05728032993470042		0.10806916426512969																	
CHOYb	0.18589664146734414	0.13268998793727382	0.33165599268069534	0.06674824785849372	0.17936147315556616	0.31775453462200454	0.26685230305139807	0.14767082829910055	0.16038492381716118	0.22735884804850323	0.2761767531219981	0.2088651659317707	0.2233192289609779	0.1695873374788016	0.12789086646062028	0.2616944717042853	0.1576458223857068	0.057736720554272515	0.06557377049180328	0.06899270648531441	0.17183770883054894	0.06942034015966678	0.15060240963855423	0.07580064430547659	0.038831181438695274	0.06239600665557404	0.10319917440660474	
CuLaOSrZn	0.18589664146734414	0.08443908323281062	0.11436413540713633	0.2781176994103905	0.05978715771852207	0.052959089103667416		0.04027386226339106	0.2520334517126819			0.17405430494314228		0.09044657998869418	0.021315144410103376	0.04361574528404754												
GeLaMnY	0.18589664146734414																											
CHNSiY	0.18589664146734414	0.060313630880579006	0.0686184812442818	0.07787295583490933	0.1076168838933397	0.15887726731100227	0.2784545770971111	0.24164317358034634	0.1489288578302211	0.08841732979664013	0.16810758885686838	0.2088651659317707	0.27033380347907854	0.05652911249293386	0.13854843866567196	0.13084723585214264	0.0788229111928534	0.30023094688221713	0.16393442622950818	0.0788488074117879	0.0954653937947494	0.04338771259979174	0.01882530120481928	0.009475080538184574	0.08737015823706436	0.03119800332778702	0.13415892672858618	
BaCuNiOY	0.17350353203618787	0.08443908323281062	0.17154620311070448	0.16687061964623429	0.25110606241779265	0.06619886137958426	0.06961364427427777		0.0687363959216405	0.012631047113805733			0.011753643629525152										0.01882530120481928					
DyFePrTb	0.17350353203618787	0.07237635705669482							0.011456065986940085		0.012007684918347743			0.05652911249293386	0.03197271661515507													
CErHNO	0.17350353203618787	0.09650180940892641	0.1372369624885636	0.2224941595283124	0.34676551476742795	0.21183635641466966	0.2552500290056851	0.30876627735266476	0.44678657349066336	0.3663003663003663	0.6364073006724303	0.7310280807611975	0.4231311706629055	0.395703787450537	0.5222210380475328	0.5670046886926181	0.4072517078297425	0.6466512702078522	0.45901639344262296	0.3351074315000986	0.4964200477326969	0.39916695591808404	0.5176957831325302	0.445328785294675	0.5048053587030386	0.4575707154742097	0.43343653250773995	
BrCIY	0.17350353203618787				0.03587229463111324																							
CLa	0.17350353203618787	0.4463208685162847	0.011436413540713633		0.3108932201363147	0.013239772275916854	0.034806822137138885	0.026849241508927372	0.05728032993470042	0.21472780093469748	0.07204610951008646	0.046414481318171275	0.058768218147625756	0.011305822498586773		0.13084723585214264					0.01909307875894988							
FeGeMnNd	0.17350353203618787							0.013424620754463686	0.02291213197388017	0.037893141341417205					0.021315144410103376													
BiCuLaO	0.17350353203618787	0.012062726176115802											0.011753643629525152															
CoCuLaOSr	0.1611104226050316			0.2224941595283124					0.011456065986940085						0.0959181498454652		0.02627430373095113								0.04853897679836909		0.07223942208462332	
BaCoCuFeOY	0.1611104226050316			0.03337412392924686						0.10104837691044587															0.009707795359673818			
CCeHO	0.1611104226050316	0.012062726176115802	0.08005489478499542	0.04449883190566248	0.14348917852445295	0.03971931682775057	0.10442046641141664	0.10739696603570949	0.09164852789552068	0.15157256536566882	0.2281460134486071	0.2784868879090276	0.11753643629525151	0.1695873374788016	0.2131514441010338	0.13084723585214264	0.1445086705202312	0.10392609699769054	0.19672131147540983	0.11827321111768185	0.0954653937947494	0.13884068031933355	0.06588855421686747	0.12317604699639947	0.20386370255315017	0.17678868552412644	0.2579979360165119	
CeMgY	0.1611104226050316																											
MnOPrSrY	0.1611104226050316								0.011456065986940085																	0.010399334442595673		
CHOSm	0.1611104226050316	0.10856453558504221	0.41171088746569073	0.07787295583490933	0.1913189046992706	0.13239772275916853	0.19723865877712032	0.12082158679017317	0.18329705579104136	0.2526209422761147	0.2281460134486071	0.1972615456022279	0.21156558533145275	0.21481062747314866	0.12789086646062028	0.15265510849416639	0.13137151865475566	0.16166281755196305	0.08743169398907104	0.06899270648531441	0.11455847255369928	0.18222839291912532	0.2164909638554217	0.12317604699639947	0.058246772158042914	0.09359400998336107	0.14447884416924664	
CHSc	0.1611104226050316	0.012062726176115802	0.04574565416285453	0.0556235398820781		0.13239772275916853		0.026849241508927372		0.06315523556902868	0.20413064361191163	0.24367602692039916	0.08227550540667607	0.10175240248728094	0.1811787274858787	0.08723149056809508	0.0394114555964267	0.023094688221709007	0.01092896174863388		0.00954653937947494		0.028237951807228913	0.018950161076369147				
BCPdPtY	0.1611104226050316																											
CY	0.1611104226050316	0.07237635705669482	0.22872827081427266		0.2630634939614971	0.013239772275916854	0.0580113702285648	0.0939723452812458	0.03436819796082025	0.06315523556902868	0.03602305475504323	0.03481086098862845	0.03526093088857546			0.02180787264202377	0.05254860746190226	0.023094688221709007										
ErNdOTiZr	0.1611104226050316																											
