Country	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CN alone/CN	93.76	94.69	94.37	92.55	93.08	91.69	94.02	93.78	93.96	94.14	94.45	94.61	91.92	92.26	91.46	92.53	92.39	93.65	92.99	93.23	93.26	91.75	92.27	92.85	91.51	93.51	93.19
US alone/US	96.87	96.76	96.16	96.23	96.74	95.16	95.74	95.34	95.05	95.84	95.52	94.54	92.95	90.79	88.19	88.86	89.29	88.26	86.57	85.01	84.53	83.84	83.84	82.49	80.57	81.29	79.15
CN-US collab/CN	0.03	0.02	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.04	0.07	0.06	0.07	0.05	0.05	0.05	0.06	0.05	0.06	0.07	0.06	0.06	0.06	0.05	0.05
CN-US collab/US	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.03	0.03	0.04	0.04	0.05	0.06	0.08	0.09	0.11	0.12	0.13	0.15	0.14	0.14	0.18
