	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Br	3.0876519845487773	3.0113871888030044	2.404677792666585	2.4646681989339334	2.85301818003866	3.090465483423432	3.0844155844155843	3.1903364190562202	3.0460539755316978	3.4508508327299054	3.4739236961848095	3.403112789504704	3.1106687742716077	3.647630575780022	3.194428456314032	3.5774738964225263	3.6161731207289294	4.125844947008261	4.575985852024419	4.307454702979621	4.834972766441753	4.808562243739051	4.845446950710109	5.611944070080862	4.863444473162747	5.150836218797384	5.236573046045728
Rh	2.9528426619656236	2.904098900295043	3.659398221464247	2.8730011247493765	3.643348259071668	3.7984978232789555	3.9784490871447393	3.420636712576202	4.178677622171278	3.609250543084721	3.5898669933496676	3.221933596734409	2.8901508498721773	3.13996133764521	2.8682705959095967	3.2142109967857895	3.010087862024081	2.767253609279813	2.504803849881817	2.9457189136248916	2.37785545890578	2.4331555949103927	2.7130325814536342	2.432193396226415	2.582493322994744	2.8945164867494966	2.5304409360435325
Sn	2.8154408524097168	2.3749725683353247	2.126933853088074	2.7580810797594015	2.476204458146762	2.442233172271923	2.430359495576887	2.212689094603748	2.0995528519871987	2.2289102099927587	2.2969898494924745	2.161053022199908	2.023691040727514	1.5031345413813662	2.0720617013928857	1.8885866981114132	2.473153270419785	2.8039722940832847	2.676552111143231	3.071910197009078	2.930656044224047	2.808523744441664	2.6670843776106934	2.737533692722372	2.1732575170155943	2.398895602779098	2.8623020424098975
W	2.797293443600446	2.8772768281680525	2.7433304909245946	3.1859748642965426	2.8040813330397123	3.1670095201645694	2.385657820440429	2.160758636261007	1.8998116076900378	2.409938450398262	2.3779313965698283	2.669664491061099	1.401166988661866	1.7578724864952755	1.4216645562334522	1.6546529983453468	1.3403026358607224	1.3302178085621297	1.2311459520125154	1.2487286699062041	1.4307779855296319	1.0914550809447727	0.7685881370091897	1.2339959568733154	1.2492461445679333	1.308077036232376	1.1566335618945365
Re	2.667669094962798	2.072614664358343	2.9772201242538676	2.2690596117169544	3.0561060950842935	3.013921446682294	2.769151138716356	2.5378189207496047	2.9121365503779195	2.5841781317885593	1.866030801540077	2.1042980943441534	1.8363483792908297	1.763292442774295	1.8226468669659646	1.8695676981304323	1.6331760494630654	1.654009847283652	1.6205553760606732	1.4803932647756808	1.7661165758881392	1.6477699281988105	1.351294903926483	1.8425707547169812	1.6714051865253727	1.7674881752551657	1.7007881701276202
I	2.584709511834703	2.0140937797176366	2.1561700572542333	2.058780380458702	2.3245002324500232	2.3991771516050324	2.4256540560888387	2.305260781214721	2.203963047869805	2.0614590876176684	2.4785614280714037	2.126126912750213	1.7797552836484982	2.1842423804447977	2.139211849123211	2.356454097643546	2.3917995444191344	2.3950596678628058	2.2514326525753736	2.565261611481523	2.4794732135598734	2.5332537681187315	2.556390977443609	2.6027628032345014	2.9012664771258723	3.0076719397107747	2.935506698226007
Mn	2.4524926762243022	2.448123674136207	1.9490802777439395	1.7286908895300503	2.5202476204458146	2.564225230828111	1.8092414831545267	2.452020772183337	2.5126540617835986	2.7538921071687184	2.2773013650682534	2.7700770557289736	2.2305485627305193	2.2637350725370817	2.5229269790107827	2.9422392970577604	2.058249267816466	1.7207710923808728	1.916438519223902	2.1358345575771276	1.8839931712868871	2.1174613563302467	2.280701754385965	2.48904986522911	1.8717153441888517	2.2608459501663387	2.1839388985139454
Cr	2.1336167785756874	2.104313476872059	2.2000243635034717	2.0318841997163677	1.9550270376079668	2.4111371573458356	2.2656691134952003	2.142695868141793	1.7772431168713256	1.9618935553946417	1.7763388169408472	2.17633319508415	1.7290166461760632	1.4164152409170567	1.6979394497525038	1.4093078985906922	1.389114871461113	1.2067095051322707	1.1240158484534155	1.1244208385128263	1.0873099747987969	1.0298562051242566	1.3304093567251463	1.2339959568733154	1.1286292754372362	0.8961911874533234	0.8784558697933188
Ti	2.045472221502087	2.021408890297725	2.2682421732245097	2.3741992273460806	2.165455479703443	2.0332009759364684	1.9104084321475625	2.3955746218107925	2.242549424609029	2.5841781317885593	2.82201610080504	2.453559188841108	1.9417286263489646	1.924084479051869	1.7132880549480065	1.5785769984214229	1.3952164009111616	1.1649837269465075	1.2022378288299012	1.2242437940256903	1.099504105357288	1.3186009355329265	1.4870509607351712	1.3224393530997305	1.5077108641337125	0.7875619526104963	0.8564944730484858
Os	2.0039924299380396	1.7751335007680866	2.5971494700938	1.934079906107878	2.483544985196604	1.8322728794909822	1.6633728590250327	1.533077444118311	1.7295775926640489	1.6066256335988416	1.6057052852642633	1.8925585558053744	1.0381905821282906	0.9376524362703473	1.2144583860941636	1.1962950988037049	0.6711682395053694	0.8211633146958192	0.7380073800738007	0.6027046370588014	1.18892772945289	0.5640147067316021	0.6578947368421052	0.6233153638814016	0.6827776341862669	0.7852988435512708	0.8101315243649496
