	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CN	1.32	1.53	1.50	1.78	2.30	2.42	3.08	3.82	4.29	4.99	6.02	6.96	8.41	10.02	12.24	14.23	16.69	19.40	21.98	23.58	25.61	27.14	30.26	33.02	32.29	36.42	41.30
US	22.84	22.22	22.66	23.84	23.42	23.32	23.87	25.24	24.96	25.92	25.74	25.59	23.27	22.33	20.98	20.53	18.77	17.67	16.33	14.71	15.02	14.76	14.44	13.05	13.77	12.47	10.83
IN	1.71	1.95	1.74	1.96	2.25	2.83	3.01	3.25	3.74	3.73	4.33	4.70	4.47	4.96	5.69	5.98	7.15	7.98	8.97	8.58	8.37	8.16	7.07	7.28	6.59	6.30	7.49
DE	7.35	8.59	8.29	7.88	7.82	7.36	6.50	6.60	6.58	6.29	6.13	5.66	5.93	5.72	5.74	5.92	6.04	6.42	5.86	6.02	5.89	5.98	5.88	5.90	6.03	6.03	4.98
JP	12.31	12.74	13.14	12.25	14.46	14.40	13.26	12.01	12.20	11.33	11.12	10.71	10.59	10.50	8.73	8.78	9.15	8.13	7.54	7.62	7.07	7.06	6.72	6.26	6.34	5.92	5.07
RU	1.52	1.29	1.37	1.14	1.67	3.17	3.00	2.91	2.75	3.25	2.75	2.90	2.51	2.58	2.32	2.36	2.21	2.13	2.14	2.51	2.57	2.74	2.88	2.93	2.95	2.86	2.82
GB	4.38	4.19	4.33	4.27	6.64	6.14	5.35	5.53	5.38	5.17	5.23	5.27	5.13	4.78	4.58	4.71	4.33	4.10	3.89	3.96	4.02	3.86	3.40	3.30	3.18	2.76	2.73
FR	5.10	5.27	5.36	5.43	5.68	5.40	5.24	4.95	4.49	4.48	4.75	4.87	4.51	4.58	4.31	4.22	4.06	3.97	3.73	3.37	3.35	3.10	3.04	2.53	2.67	2.56	2.25
KR	0.78	0.84	1.23	1.25	1.39	1.69	1.80	1.80	1.67	1.56	1.47	1.77	1.93	1.68	2.43	2.20	2.06	2.26	2.46	2.72	2.37	2.16	2.22	2.04	2.07	2.26	1.98
ES	3.33	3.37	3.42	3.46	3.70	3.84	3.83	3.84	3.42	3.72	3.62	3.59	3.51	3.33	3.15	3.11	3.24	3.21	2.76	2.56	2.66	2.35	2.34	2.09	1.98	1.96	1.75
