Country	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
China	545374.8589	587214.3732	485312.1012	531727.6296	696736.6664	744635.8043	812752.2651	864415.2719	928608.7055	1121168.087	1225712.879	1424071.75	1591067.99	1149467.119	1205440.724	1310631.527	1396472.731	1474977.421	1514647.483	1607454.533	1680254.376	1728153.867	1850739.762	2091652.163	2260472.302	2382731.489
US	849259.1261	887579.8129	943636.6624	970373.59	981631.937	1001924.408	1024435.408	1091884.809	1061227.266	1048458.479	1069865.942	1064596.609	1113417.413	1161325.04	1097887.367	1141575.389	1145634.232	1180729.358	1221520.399	1242795.163	1237514.29	1287016.74	1392980.893	1414732.406	1475885.384	
