country	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
China	21.43	20.60	20.66	21.86	22.99	24.57	25.92	26.80	26.39	26.31	25.57	29.16	27.16	34.57	33.92	33.77	34.39	37.04	39.97	41.49	50.70	54.95	56.66	60.40	70.14	71.84	77.10
US	68.23	65.84	62.60	59.03	53.17	53.15	55.54	58.62	66.10	65.44	64.18	64.57	73.42	86.58	95.14	99.48	103.04	104.54	104.54	105.13	107.16	106.21	107.44	108.74	133.48	126.43	121.38
