country	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
China	0.56	0.64	0.65	0.75	0.89	0.94	1.06	1.12	1.21	1.31	1.37	1.37	1.45	1.66	1.71	1.78	1.91	2.00	2.02	2.06	2.10	2.12	2.14	2.24	2.41	2.43
US	2.45	2.48	2.50	2.54	2.62	2.64	2.55	2.55	2.49	2.50	2.55	2.62	2.74	2.79	2.71	2.74	2.67	2.70	2.72	2.79	2.85	2.90	3.01	3.17	3.47	3.46
