Country	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
US_GDPpc	2.57	3.20	3.27	3.59	2.93	-0.04	0.76	1.92	2.89	2.53	1.80	1.04	-0.83	-3.43	1.85	0.83	1.54	1.41	1.77	2.19	1.08	1.81	2.43	2.00	-3.16	5.63	1.56	2.04
CN-GDPpc	8.78	8.12	6.82	6.73	7.64	7.55	8.40	9.35	9.46	10.74	12.09	13.64	9.09	8.86	10.10	8.95	7.13	7.05	6.75	6.42	6.24	6.30	6.25	5.58	2.00	8.35	3.00	5.31
