	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
All substances	308716	315923	324209	328921	336498	337191	356519	375242	392672	407744	417758	424545	447229	482340	546241	574354	574027	618430	633468	627246	637303	665233	674501	700380	689565	719726	729611
Organic chemicals	284881	288915	296785	298774	304730	306644	320772	336038	349988	364807	384807	392622	417664	455282	514206	544526	554374	597870	608362	604057	615778	642028	652980	679991	670775	700603	709001
Organometallics	38573	41011	41045	40898	40869	41806	42504	44290	44057	44192	45712	45811	51243	55351	52122	52579	49168	59915	58807	53094	49204	51949	47880	47488	46428	44187	40981
Rare-earth chemicals	8069	8290	8744	8989	8363	7553	8619	7449	8729	7917	8328	8618	8508	8845	9383	9171	7612	8660	9150	10146	10475	11524	10624	10554	10301	9616	9690
