	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Ce	8.439707522617425	8.974668275030156	7.982616651418114	6.841695405495606	7.91581968193232	5.891698662783	5.638705186216499	6.953953550812189	6.484133348608088	8.50069470759126	10.446685878962537	8.493850081225341	7.698636577338975	8.99943470887507	9.28274539060002	9.813542688910697	6.9364161849710975	8.25635103926097	11.09289617486339	8.732505420855508	10.463007159904535	8.772995487677889	7.257153614457831	9.721432632177374	8.222502669643724	7.653910149750416	6.429308565531476
Gd	7.287148345519891	6.634499396863691	5.958371454711802	6.819445989542775	6.971182589979673	6.977359989408183	5.847546119039332	7.813129279097865	6.965288120059572	7.55336617405583	8.09317963496638	7.263866326293804	7.5458392101551475	8.377614471452798	9.602472556751572	9.028459273797841	9.931686810299526	9.711316397228638	9.857923497267759	9.392864182929234	9.832935560859188	8.39986115931968	8.650225903614457	8.499147242751564	9.37773031744491	9.941763727121463	10.350877192982457
Ca	6.840996405998265	7.744270205066345	7.227813357731015	8.27678273445322	6.528757622862609	5.34886799947041	4.768534632788026	5.517519130084575	4.994844770305877	4.408235442718202	5.367435158501441	6.091900673009979	5.559473436765397	6.1503674392312035	5.80837685175317	6.814960200632428	5.635838150289017	4.607390300230947	6.109289617486339	7.530061107825745	7.198090692124105	7.063519611246096	4.922816265060241	7.134735645252984	5.601397922531793	6.5515806988352745	7.481940144478844
Pr	6.4568100136324205	7.683956574185766	6.152790484903934	5.606852820113472	6.229821834269999	5.9578975241625844	5.302239238890823	6.322996375352396	5.831137587352503	4.610332196539093	6.376080691642651	5.442097934555582	5.559473436765397	4.488411531938948	5.1582649472450175	3.5219714316868393	3.9148712559117187	3.048498845265589	3.2131147540983602	3.262369406662724	3.341288782816229	3.523082263103089	4.066265060240964	3.2120523024445706	3.2326958547713813	3.3589850249584026	3.2507739938080498
Sm	6.109802949560045	5.416164053075995	6.804666056724611	6.240961174769162	8.190840607437522	5.375347544022243	5.081796032022276	6.067928581017586	4.8000916485278955	5.671340154098775	4.4548511047070125	5.650963100487353	4.337094499294782	6.172979084228378	6.224022167750187	6.520553919965108	5.451918024172359	5.196304849884527	4.612021857923497	5.213877390104474	5.4892601431980905	5.744533148212426	6.447665662650602	5.0312677657760085	5.494612173575382	5.366056572379367	8.679050567595459
B	5.713223447763044	5.343787696019301	4.826166514181153	4.839247969740795	5.667822551715891	5.851979345955249	5.023784661793711	3.973687743321251	5.693664795509222	5.014525704180876	4.911143131604226	4.258528660942214	5.065820404325341	4.6127755794234035	5.1369498028349145	5.266601243048741	5.478192327903311	4.907621247113164	3.1366120218579234	4.88862605953085	4.534606205250596	5.19784796945505	4.5745481927710845	5.8271745309835135	6.251820211629938	6.686772046589018	5.696594427244582
Mn	5.514933696864544	6.911942098914355	8.27996340347667	8.232283902547557	9.099605404759057	7.705547464583609	8.411648683141895	8.08162169418714	9.49707870317333	7.0481242895036	6.448126801152737	7.611974936180088	4.807240244475787	6.206896551724138	5.74443141852286	6.0407807218405845	5.228586442459275	4.30715935334873	5.3224043715847	6.140350877192982	6.023866348448688	5.076362374175634	5.939382530120482	5.287094940306993	5.2033783127851665	5.210066555740433	6.037151702786378
Si	4.808526459288635	5.9710494571773225	6.575937785910338	6.563577706085215	5.368886763123281	6.156494108301337	7.518273581621998	7.893677003624648	7.652652079275976	7.464948844259189	9.810278578290106	10.652123462520306	9.203102961918194	9.361221028829847	11.073217521048704	9.95529386108385	9.760903836048344	8.475750577367206	10.633879781420765	9.540705696826334	9.77565632458234	9.467198889274558	7.2477409638554215	8.167519423915104	7.863314241335792	7.01955074875208	9.39112487100103
Co	4.511091832940885	5.681544028950543	5.741079597438244	7.064189565023918	5.883056319502571	4.911955514365153	4.780136906833739	6.363270237615787	5.33852674991408	6.871289629910319	6.123919308357348	6.323973079600835	6.476257639868359	4.533634821933295	5.669828413087498	4.74321229964017	4.203888596952181	2.7367205542725173	3.9234972677595623	3.656613443721664	3.446300715990454	4.165220409580007	4.649849397590362	3.941633503884783	4.834482089117562	5.293261231281198	4.3653250773993815
Ni	4.362374519767009	6.417370325693607	5.363677950594694	5.117365669151185	4.818844912112878	3.137826029392295	3.457477665622462	5.6114914753658205	5.36143888188796	5.191360363774157	3.5662824207492796	5.244836388953353	4.478138222849084	3.2673827020915773	3.7194926995630393	3.6528186675389818	2.9427220178665268	3.2101616628175518	3.038251366120219	3.5876207372363496	3.9904534606205253	2.7334258937868796	3.37914156626506	3.117301497062725	2.562857974953888	4.378119800332779	3.7358101135190918
